Curso;Sigla;Aprobacion;Creditos;Prerequisitos
Fundamentos de Matematica;111;0.8;8;
Calculo Diferencial;121;0.8;8;111
Calculo Integral;211;0.8;8;121
Calculo en Varias Variables;221;0.8;8;122 211
Algebra;112;0.8;8;
Algebra Lineal;122;0.8;6;112
Ecuaciones Diferenciales;212;0.8;8;112 121
Metodos Numericos y Optimizacion ;222;0.8;4;214
Fundamentos de Fisica;113;0.8;6;
Fisica Mecanica;123;0.8;7;113
Fisica Electromagnetismo;223;0.8;7;211
Fisica, Calor y Ondas;314;0.8;7;113 121
Fisica para Ingenieria Biomedica;415;0.8;4;224 314
Introduccion a la Ingenieria Biomedica;114;0.8;5;
Grafica en Ingenieria;313;0.8;6;113
Analisis de Sistemas Lineales;324;0.8;4;211 212
Probabilidades y Estadistica;325;0.8;6;211
Procesamiento Digital de Señales Biomedicas;414;0.8;6;214 324
Procesamiento Digital de Imágenes Medicas;423;0.8;6;221 414
Programacion de Computadores;214;0.8;6;
Gestion de Datos en Salud;225;0.8;5;
Redes de Datos y Comunicaciones;513;0.8;6;322 323
Sistemas de Informacion para Salud;523;0.8;6;416 513
E salud y telemedicina;613;0.8;6;513
Ciencias Biomedicas 1;124;0.8;4;
Ciencias Biomedicas 2;213;0.8;6;
Ciencias Biomedicas 3;224;0.8;4;
Ciencias Biomedicas 4;315;0.8;4;213
Ciencias Biomedicas 5;326;0.8;6;213
Desarrollo Personal 1;115;0.8;4;
Desarrollo Personal 2;125;0.8;4;115
Idioma 1;215;0.8;2;125
Idioma 2;226;0.8;2;215
Idioma 3;316;0.8;2;226
Electivo 1;424;0.8;4;321
Electivo 2;514;0.8;4;321
Electivo 3;524;0.8;4;416
Electivo 4;614;0.8;4;416
Electromedicina 1;311;0.8;5;223
Electromedicina 2;322;0.8;4;214 311 312
Electromedicina 3;412;0.8;4;322 323
Lab de electromedicina 1;312;0.8;4;223
Lab de electromedicina 2;323;0.8;2;214 311 312
Lab de electromedicina 3;413;0.8;4;322 323
Mediciones Biomedicas;321;0.8;6;311 312
Equipos Medicos 1;421;0.8;6;315 311 312
Equipos Medicos 2;511;0.8;6;322 323
Equipos Medicos 3;512;0.8;6;326 311 312
Equipos Medicos 4;521;0.8;6;322 323 423
Ingenieria de Control Automatico;422;0.8;4;214 324
Proyectos de Equipamiento de Salud;611;0.8;6;425 421
Fundamentos de Salud Publica;416;0.8;4;317
Fundamentos de Ingenieria clinica;425;0.8;6;
Gestion de Operaciones y procesos hospitalarios;515;0.8;5;416
Gestion de Calidad Y acreditacion;525;0.8;4;416 425
Seguridad Hospitalaria;411;0.8;4;311 312
Gestion de Organizacions de Salud 1;516;0.8;5;225
Gestion de Organizacions de Salud 2;526;0.8;4;225
Gestion y Operaciones de Mantenimiento;522;0.8;4;416 421
Tecnovigilancia y;615;0.8;4;411 425
Taller Integracion perfil sello UV 1;317;0.8;2;
Taller Integracion perfil sello UV 2;327;0.8;2;317
Taller Integracion perfil sello UV 3;417;0.8;2;327
Taller de Integracion;426;0.8;6;417
Diseño y Desarrollo de Soluciones Biomedicas;612;0.8;6;412 421
Formulacion y Evaluacion de Proyectos;616;0.8;4;521 526
Proyecto de Ingenieria Biomedica;621;0.8;30;611 616 521 617
Practica Profesional;617;0.8;15; 411 425 426 515
